,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),남교사 수,6학년 학생 수,방과후_학생 _수
0,더마크(주상복합),22㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,22.98,18.85,82,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,더마크(주상복합),26㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,26.75,21.94,82,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,더마크(주상복합),28A㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,28.98,23.77,82,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,더마크(주상복합),28C㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,28.94,23.73,82,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,더마크(주상복합),28B㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,28.83,23.65,82,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,더마크(주상복합),32,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,32.6,26.74,82,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,덕현해밀,66㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,66.89,51.04,76,2,1,2,계단식,118280,349520,23650,207590,0,0,0,,,,,,,,,,,,서울용답초등학교,B100002187,서울특별시 성동구 용답동 29번지,공립,단설,19830420,서울특별시교육청,http://yd.sen.es.kr,20230531,12.9,14.3,108,107,20230531,4,26,2,2,2,2,2,3,31,32,31,21,47,,2,8,13,215,2,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,361,445809000,37.56082957,127.05355296,1120012200,서울시,19.8,17.4,성동구,17.8,15.9,10,,45.0,53.0
1,덕현해밀,93㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,93.69,72.5,77,3,2,2,계단식,229200,561480,45840,286440,0,0,0,,,,,"9억 3,000",,,,,,,서울용답초등학교,B100002187,서울특별시 성동구 용답동 29번지,공립,단설,19830420,서울특별시교육청,http://yd.sen.es.kr,20230531,12.9,14.3,108,107,20230531,4,26,2,2,2,2,2,3,31,32,31,21,47,,2,8,13,215,2,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,361,445809000,37.56082957,127.05355296,1120012200,서울시,19.8,17.4,성동구,17.8,15.9,10,,45.0,53.0
2,덕현해밀,95A㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,95.31,73.74,77,3,2,1,계단식,188720,484560,37740,258100,0,0,0,,,,,,,,,,,,서울용답초등학교,B100002187,서울특별시 성동구 용답동 29번지,공립,단설,19830420,서울특별시교육청,http://yd.sen.es.kr,20230531,12.9,14.3,108,107,20230531,4,26,2,2,2,2,2,3,31,32,31,21,47,,2,8,13,215,2,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,361,445809000,37.56082957,127.05355296,1120012200,서울시,19.8,17.4,성동구,17.8,15.9,10,,45.0,53.0
3,덕현해밀,96B㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,96.5,75.11,78,3,2,1,계단식,243280,588220,48650,296290,0,0,0,,,,,,,,,,,,서울용답초등학교,B100002187,서울특별시 성동구 용답동 29번지,공립,단설,19830420,서울특별시교육청,http://yd.sen.es.kr,20230531,12.9,14.3,108,107,20230531,4,26,2,2,2,2,2,3,31,32,31,21,47,,2,8,13,215,2,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,361,445809000,37.56082957,127.05355296,1120012200,서울시,19.8,17.4,성동구,17.8,15.9,10,,45.0,53.0
